seq,tag,crownclass2018,strata.pre,crownclass2020,strata.post,crown.class,ftg2017,pct.open.jan.2019,FTG2019,crown.area.2017,ftg2017,numb.taps2017
1,2801,i,lower,c,upper,i,0,315,4,621.61,0,1
2,2802,i,lower,i,lower,i,0,22,1,258.51,0,12
3,2803,c,upper,c,upper,c,0,270,4,494.18,0,12
4,319,c,upper,c,upper,c,0,90,1,450.47,0,
5,320,c,upper,c,upper,c,0,45,1,581.14,0,
6,2804,c,upper,c,upper,c,0,150,2,782.66,0,19
7,321,i,lower,i,lower,i,0,45,1,248.44,0,
8,2805,c,upper,c,upper,c,0,0,0,509.29,0,17
9,2806,i,lower,s,lower,i,0,45,1,111.555,0,19
10,2807,c,upper,c,upper,c,0,90,1,323.15,0,27.5
11,322,c,upper,c,upper,c,0,180,2,866.32,0,
12,2808,i,lower,i,lower,i,0,270,4,211.36,0,12
13,2809,c,upper,c,upper,c,0,135,2,642.45,0,22.5
14,2827,i,lower,i,lower,i,0,90,1,173.5,0,1
15,332,i,lower,i,lower,i,0,90,1,269.95,0,
16,333,c,upper,c,upper,c,0,45,1,949.66,0,
17,2812,i,lower,c,upper,c,45,225,3,494.76,45,25.5
18,2811,c,upper,c,upper,c,0,315,4,448.87,0,20.5
19,2810,i,lower,c,upper,i,0,225,3,163.83,0,13.5
20,323,c,upper,c,upper,c,0,200,3,397.83,0,
21,324,s,lower,s,lower,s,0,315,4,392.38,0,
22,2813,i,lower,i,lower,c,0,0,0,243.34,0,22.5
23,2814,c,upper,c,upper,c,0,115,2,467.67,0,13
24,2815,i,lower,c,upper,i,1,315,4,622.48,1,21
25,325,i,lower,c,upper,i,0,115,2,330.16,0,
26,2816,i,lower,c,upper,i,0,90,1,179.14,0,1
27,2817,c,upper,c,upper,c,0,225,3,634.33,0,14
28,2818,c,upper,c,upper,c,45,45,1,481.07,45,17.5
29,2819,i,lower,i,lower,i,0,135,2,204.65,0,15
30,2828,s,lower,s,lower,s,0,0,0,87.54,0,1
31,2822,c,upper,c,upper,c,0,180,2,312.46,0,13.5
32,326,c,upper,c,upper,c,0,225,3,1138.92,0,
33,2820,c,upper,c,upper,c,0,360,4,457.72,0,18.5
34,328,c,upper,c,upper,c,0,315,4,681.56,0,
35,2821,c,upper,c,upper,c,0,180,2,332.36,0,15.5
36,327,c,upper,c,upper,c,0,45,1,544.03,0,
37,329,c,upper,c,upper,c,0,90,1,289.78,0,
38,330,c,upper,c,upper,c,0,225,3,317.26,0,
39,2823,c,upper,c,upper,c,0,225,3,421.41,0,13
40,2824,c,upper,c,upper,c,0,225,3,620.76,0,12.5
41,331,i,lower,c,upper,i,0,90,1,370.44,0,
42,2825,i,lower,c,upper,i,0,315,4,501.17,0,11.5
43,2826,s,lower,i,lower,s,0,270,4,209.56,0,12.5
